N C#m 0.0928798
J A 54.5204535
J A 54.5668934
J A 54.6133333
J A 54.6597732
J A 54.7062132
J A 54.7526531
J A 54.7990930
J A 54.8455329
J A 54.8919728
J A 54.9384127
J A 54.9848526
J A 55.0312925
J A 55.0777324
J A 55.1241723
H G 55.1706122
H G 55.2170522
H G 55.2634921
H G 55.3099320
J A 55.3563719
J A 55.4028118
J A 55.4492517
J A 55.4956916
J A 55.5421315
J A 55.5885714
J A 55.6350113
J A 55.6814512
H G 55.7278912
H G 55.7743311
H G 55.8207710
H G 55.8672109
H G 55.9136508
A C 55.9600907
A C 56.0065306
A C 56.0529705
A C 56.0994104
A C 56.1458503
A C 56.1922902
A C 56.2387302
A C 56.2851701
A C 56.3316100
A C 56.3780499
A C 56.4244898
J A 56.4709297
J A 56.5173696
J A 56.5638095
J A 56.6102494
J A 56.6566893
J A 56.7031293
J A 56.7495692
J A 56.7960091
J A 56.8424490
J A 56.8888889
J A 56.9353288
J A 56.9817687
J A 57.0282086
J A 57.0746485
J A 57.1210884
J A 57.1675283
A C 57.2139683
A C 57.2604082
A C 57.3068481
A C 57.3532880
A C 57.3997279
A C 57.4461678
A C 57.4926077
A C 57.5390476
A C 57.5854875
A C 57.6319274
A C 57.6783673
A C 57.7248073
A C 57.7712472
A C 57.8176871
A C 57.8641270
A C 57.9105669
J A 57.9570068
J A 58.0034467
J A 58.0498866
J A 58.0963265
J A 58.1427664
H G 58.1892063
H G 58.2356463
H G 58.2820862
J A 58.3285261
J A 58.3749660
J A 58.4214059
J A 58.4678458
J A 58.5142857
J A 58.5607256
J A 58.6071655
J A 58.6536054
H G 58.7000454
H G 58.7464853
H G 58.7929252
H G 58.8393651
H G 58.8858050
A C 58.9322449
A C 58.9786848
A C 59.0251247
A C 59.0715646
A C 59.1180045
A C 59.1644444
A C 59.2108844
A C 59.2573243
A C 59.3037642
A C 59.3502041
A C 59.3966440
J A 59.4430839
J A 59.4895238
J A 59.5359637
J A 59.5824036
J A 59.6288435
J A 59.6752834
J A 59.7217234
J A 59.7681633
J A 59.8146032
J A 59.8610431
J A 59.9074830
J A 59.9539229
J A 60.0003628
J A 60.0468027
J A 60.0932426
J A 60.1396825
J A 60.1861224
J A 60.2325624
J A 60.2790023
J A 60.3254422
J A 60.3718821
J A 60.4183220
J A 60.4647619
J A 60.5112018
J A 60.5576417
J A 60.6040816
J A 60.6505215
J A 60.6969615
J A 60.7434014
J A 60.7898413
J A 60.8362812
J A 60.8827211
J A 60.9291610
J A 60.9756009
J A 61.0220408
J A 61.0684807
J A 61.1149206
H G 61.1613605
H G 61.2078005
H G 61.2542404
H G 61.3006803
J A 61.3471202
J A 61.3935601
J A 61.4400000
J A 61.4864399
J A 61.5328798
J A 61.5793197
J A 61.6257596
J A 61.6721995
H G 61.7186395
H G 61.7650794
H G 61.8115193
H G 61.8579592
H G 61.9043991
A C 61.9508390
A C 61.9972789
A C 62.0437188
A C 62.0901587
A C 62.1365986
A C 62.1830385
A C 62.2294785
A C 62.2759184
A C 62.3223583
A C 62.3687982
A C 62.4152381
J A 62.4616780
J A 62.5081179
J A 62.5545578
J A 62.6009977
H G 62.6474376
H G 62.6938776
H G 62.7403175
H G 62.7867574
J A 62.8331973
J A 62.8796372
J A 62.9260771
J A 62.9725170
J A 63.0189569
J A 63.0653968
J A 63.1118367
J A 63.1582766
A C 63.2047166
A C 63.2511565
A C 63.2975964
A C 63.3440363
A C 63.3904762
A C 63.4369161
A C 63.4833560
A C 63.5297959
A C 63.5762358
A C 63.6226757
A C 63.6691156
A C 63.7155556
A C 63.7619955
A C 63.8084354
A C 63.8548753
A C 63.9013152
J A 63.9477551
J A 63.9941950
J A 64.0406349
J A 64.0870748
J A 64.1335147
J A 64.1799546
J A 64.2263946
J A 64.2728345
J A 64.3192744
J A 64.3657143
J A 64.4121542
J A 64.4585941
J A 64.5050340
J A 64.5514739
J A 64.5979138
J A 64.6443537
J A 64.6907937
H G 64.7372336
H G 64.7836735
H G 64.8301134
H G 64.8765533
A C 64.9229932
A C 64.9694331
A C 65.0158730
A C 65.0623129
A C 65.1087528
A C 65.1551927
A C 65.2016327
A C 65.2480726
A C 65.2945125
A C 65.3409524
A C 65.3873923
J A 65.4338322
J A 65.4802721
J A 65.5267120
J A 65.5731519
J A 65.6195918
J A 65.6660317
J A 65.7124717
J A 65.7589116
J A 65.8053515
J A 65.8517914
J A 65.8982313
J A 65.9446712
J A 65.9911111
J A 66.0375510
J A 66.0839909
J A 66.1304308
J A 66.1768707
A C 66.2233107
A C 66.2697506
A C 66.3161905
A C 66.3626304
A C 66.4090703
A C 66.4555102
A C 66.5019501
A C 66.5483900
A C 66.5948299
A C 66.6412698
A C 66.6877098
A C 66.7341497
A C 66.7805896
A C 66.8270295
A C 66.8734694
J A 66.9199093
J A 66.9663492
J A 67.0127891
J A 67.0592290
J A 67.1056689
J A 67.1521088
H G 67.1985488
H G 67.2449887
H G 67.2914286
J A 67.3378685
J A 67.3843084
J A 67.4307483
J A 67.4771882
J A 67.5236281
J A 67.5700680
J A 67.6165079
J A 67.6629478
H G 67.7093878
H G 67.7558277
H G 67.8022676
H G 67.8487075
H G 67.8951474
A C 67.9415873
A C 67.9880272
A C 68.0344671
A C 68.0809070
A C 68.1273469
A C 68.1737868
A C 68.2202268
A C 68.2666667
A C 68.3131066
A C 68.3595465
A C 68.4059864
J A 68.4524263
J A 68.4988662
J A 68.5453061
J A 68.5917460
J A 68.6381859
J A 68.6846259
J A 68.7310658
J A 68.7775057
J A 68.8239456
J A 68.8703855
J A 68.9168254
J A 68.9632653
J A 69.0097052
J A 69.0561451
J A 69.1025850
J A 69.1490249
A C 69.1954649
A C 69.2419048
A C 69.2883447
A C 69.3347846
A C 69.3812245
A C 69.4276644
A C 69.4741043
A C 69.5205442
A C 69.5669841
A C 69.6134240
A C 69.6598639
A C 69.7063039
A C 69.7527438
A C 69.7991837
A C 69.8456236
A C 69.8920635
A C 69.9385034
J A 69.9849433
J A 70.0313832
J A 70.0778231
J A 70.1242630
H G 70.1707029
H G 70.2171429
H G 70.2635828
H G 70.3100227
J A 70.3564626
J A 70.4029025
J A 70.4493424
J A 70.4957823
J A 70.5422222
J A 70.5886621
J A 70.6351020
J A 70.6815420
H G 70.7279819
H G 70.7744218
H G 70.8208617
H G 70.8673016
H G 70.9137415
H G 70.9601814
H G 71.0066213
H G 71.0530612
J A 71.0995011
J A 71.1459410
J A 71.1923810
J A 71.2388209
J A 71.2852608
J A 71.3317007
J A 71.3781406
J A 71.4245805
J A 71.4710204
J A 71.5174603
J A 71.5639002
J A 71.6103401
H G 71.6567800
H G 71.7032200
H G 71.7496599
H G 71.7960998
J A 71.8425397
J A 71.8889796
J A 71.9354195
J A 71.9818594
J A 72.0282993
