A C 42.2603175
A C 42.3067574
A C 42.3531973
A C 42.3996372
A C 42.4460771
A C 42.4925170
A C 42.5389569
A C 42.5853968
A C 42.6318367
A C 42.6782766
A C 42.7247166
A C 42.7711565
A C 42.8175964
A C 42.8640363
H G 42.9104762
H G 42.9569161
H G 43.0033560
H G 43.0497959
H G 43.0962358
J A 43.1426757
J A 43.1891156
J A 43.2355556
J A 43.2819955
J A 43.3284354
J A 43.3748753
J A 43.4213152
J A 43.4677551
J A 43.5141950
J A 43.5606349
J A 43.6070748
H G 43.6535147
H G 43.6999546
H G 43.7463946
H G 43.7928345
J A 43.8392744
J A 43.8857143
J A 43.9321542
J A 43.9785941
J A 44.0250340
J A 44.0714739
J A 44.1179138
J A 44.1643537
A C 44.2107937
A C 44.2572336
A C 44.3036735
A C 44.3501134
A C 44.3965533
A C 44.4429932
A C 44.4894331
A C 44.5358730
A C 44.5823129
A C 44.6287528
A C 44.6751927
A C 44.7216327
A C 44.7680726
H G 44.8145125
H G 44.8609524
H G 44.9073923
H G 44.9538322
H G 45.0002721
F F 45.0467120
F F 45.0931519
F F 45.1395918
F F 45.1860317
F F 45.2324717
F F 45.2789116
F F 45.3253515
F F 45.3717914
F F 45.4182313
F F 45.4646712
F F 45.5111111
F F 45.5575510
F F 45.6039909
F F 45.6504308
F F 45.6968707
F F 45.7433107
F F 45.7897506
F F 45.8361905
F F 45.8826304
F F 45.9290703
F F 45.9755102
F F 46.0219501
F F 46.0683900
F F 46.1148299
F F 46.1612698
F F 46.2077098
F F 46.2541497
F F 46.3005896
F F 46.3470295
F F 46.3934694
F F 46.4399093
F F 46.4863492
F F 46.5327891
F F 46.5792290
F F 46.6256689
F F 46.6721088
F F 46.7185488
F F 46.7649887
F F 46.8114286
F F 46.8578685
F F 46.9043084
F F 46.9507483
F F 46.9971882
F F 47.0436281
F F 47.0900680
F F 47.1365079
F F 47.1829478
F F 47.2293878
F F 47.2758277
F F 47.3222676
F F 47.3687075
F F 47.4151474
F F 47.4615873
F F 47.5080272
F F 47.5544671
F F 47.6009070
F F 47.6473469
F F 47.6937868
F F 47.7402268
F F 47.7866667
F F 47.8331066
F F 47.8795465
F F 47.9259864
F F 47.9724263
F F 48.0188662
F F 48.0653061
F F 48.1117460
F F 48.1581859
F F 48.2046259
F F 48.2510658
F F 48.2975057
M Cm 48.3439456
M Cm 48.3903855
M Cm 48.4368254
M Cm 48.4832653
M Cm 48.5297052
M Cm 48.5761451
M Cm 48.6225850
M Cm 48.6690249
M Cm 48.7154649
C D 48.7619048
C D 48.8083447
C D 48.8547846
C D 48.9012245
C D 48.9476644
C D 48.9941043
C D 49.0405442
C D 49.0869841
C D 49.1334240
C D 49.1798639
C D 49.2263039
C D 49.2727438
C D 49.3191837
C D 49.3656236
C D 49.4120635
C D 49.4585034
C D 49.5049433
C D 49.5513832
C D 49.5978231
C D 49.6442630
C D 49.6907029
C D 49.7371429
C D 49.7835828
C D 49.8300227
C D 49.8764626
C D 49.9229025
C D 49.9693424
C D 50.0157823
C D 50.0622222
C D 50.1086621
C D 50.1551020
C D 50.2015420
C D 50.2479819
C D 50.2944218
C D 50.3408617
C D 50.3873016
C D 50.4337415
C D 50.4801814
C D 50.5266213
C D 50.5730612
C D 50.6195011
C D 50.6659410
C D 50.7123810
C D 50.7588209
C D 50.8052608
C D 50.8517007
C D 50.8981406
C D 50.9445805
C D 50.9910204
C D 51.0374603
C D 51.0839002
C D 51.1303401
C D 51.1767800
C D 51.2232200
C D 51.2696599
C D 51.3160998
C D 51.3625397
C D 51.4089796
C D 51.4554195
C D 51.5018594
C D 51.5482993
C D 51.5947392
C D 51.6411791
C D 51.6876190
C D 51.7340590
C D 51.7804989
T Gm 51.8269388
H G 51.8733787
H G 51.9198186
H G 51.9662585
J A 52.0126984
J A 52.0591383
J A 52.1055782
J A 52.1520181
J A 52.1984580
J A 52.2448980
J A 52.2913379
J A 52.3377778
J A 52.3842177
J A 52.4306576
J A 52.4770975
J A 52.5235374
J A 52.5699773
J A 52.6164172
J A 52.6628571
J A 52.7092971
J A 52.7557370
J A 52.8021769
J A 52.8486168
J A 52.8950567
J A 52.9414966
J A 52.9879365
H G 53.0343764
H G 53.0808163
H G 53.1272562
H G 53.1736961
H G 53.2201361
J A 53.2665760
J A 53.3130159
J A 53.3594558
J A 53.4058957
J A 53.4523356
J A 53.4987755
J A 53.5452154
J A 53.5916553
J A 53.6380952
J A 53.6845351
H G 53.7309751
H G 53.7774150
H G 53.8238549
H G 53.8702948
J A 53.9167347
J A 53.9631746
J A 54.0096145
J A 54.0560544
J A 54.1024943
J A 54.1489342
J A 54.1953741
J A 54.2418141
J A 54.2882540
J A 54.3346939
